text,category
Zoom Enterprise license renewal,Cloud/Software
Dropbox business storage 5 TB,Cloud/Software
GitHub team plan for 18 users,Cloud/Software
GitHub team plan for 36 users,Cloud/Software
Dropbox business storage 2 TB,Cloud/Software
Zoom Business license renewal,Cloud/Software
Microsoft 365 E3 annual fee,Cloud/Software
Slack Standard grid,Cloud/Software
Google Cloud Platform storage charges,Cloud/Software
Azure Standard subscription fee,Cloud/Software
Salesforce CRM Enterprise,Cloud/Software
GitHub team plan for 27 users,Cloud/Software
Google Cloud Platform compute charges,Cloud/Software
Dropbox business storage 1 TB,Cloud/Software
AWS EC2 monthly hosting bill,Cloud/Software
Azure Premium subscription fee,Cloud/Software
Adobe Creative Cloud Premiere Pro license,Cloud/Software
GitHub team plan for 16 users,Cloud/Software
GitHub team plan for 9 users,Cloud/Software
Microsoft 365 Business Premium annual fee,Cloud/Software
GitHub team plan for 23 users,Cloud/Software
AWS Lambda monthly hosting bill,Cloud/Software
Adobe Creative Cloud Creative Cloud license,Cloud/Software
Google Cloud Platform network charges,Cloud/Software
Microsoft 365 E5 annual fee,Cloud/Software
Zoom Pro license renewal,Cloud/Software
Slack Premium grid,Cloud/Software
AWS RDS monthly hosting bill,Cloud/Software
Adobe Creative Cloud Photoshop license,Cloud/Software
GitHub team plan for 32 users,Cloud/Software
GitHub team plan for 26 users,Cloud/Software
Salesforce CRM Professional,Cloud/Software
Slack Basic grid,Cloud/Software
GitHub team plan for 45 users,Cloud/Software
AWS S3 monthly hosting bill,Cloud/Software
GitHub team plan for 38 users,Cloud/Software
GitHub team plan for 20 users,Cloud/Software
GitHub team plan for 6 users,Cloud/Software
Azure Basic subscription fee,Cloud/Software
GitHub team plan for 14 users,Cloud/Software
GitHub team plan for 13 users,Cloud/Software
GitHub team plan for 39 users,Cloud/Software
GitHub team plan for 44 users,Cloud/Software
GitHub team plan for 50 users,Cloud/Software
GitHub team plan for 22 users,Cloud/Software
GitHub team plan for 8 users,Cloud/Software
GitHub team plan for 12 users,Cloud/Software
GitHub team plan for 40 users,Cloud/Software
GitHub team plan for 34 users,Cloud/Software
GitHub team plan for 7 users,Cloud/Software
GitHub team plan for 43 users,Cloud/Software
GitHub team plan for 5 users,Cloud/Software
Royal Mail international shipping,Logistics
UPS ground freight 1kg,Logistics
Blue Dart express parcel,Logistics
DHL Overnight courier charges,Logistics
DPD pick‑and‑deliver service,Logistics
DHL Express courier charges,Logistics
Maersk container transport,Logistics
DHL Ground courier charges,Logistics
Canada Post Priority delivery,Logistics
UPS ground freight 10kg,Logistics
TNT freight invoice,Logistics
Canada Post Regular delivery,Logistics
FedEx EC2 shipping fee,Logistics
USPS priority mail 789012,Logistics
USPS priority mail 123456,Logistics
UPS ground freight 5kg,Logistics
FedEx S3 shipping fee,Logistics
Canada Post Expedited delivery,Logistics
FedEx Lambda shipping fee,Logistics
FedEx RDS shipping fee,Logistics
UPS ground freight 20kg,Logistics
USPS priority mail 345678,Logistics
HP ink cartridges cyan,Office Supplies
Avery label stickers medium,Office Supplies
Desk chair ergonomic model,Office Supplies
Brother toner cartridge HL‑L2350DW,Office Supplies
Staples printer paper 1 reams,Office Supplies
Avery label stickers large,Office Supplies
Whiteboard markers set of 100,Office Supplies
HP ink cartridges black,Office Supplies
Post‑it notes pack 100,Office Supplies
Notebooks and pens bulk order,Office Supplies
Post‑it notes pack 50,Office Supplies
Bic ballpoint pens box of 50,Office Supplies
Staples printer paper 10 reams,Office Supplies
Post‑it notes pack 500,Office Supplies
HP ink cartridges color,Office Supplies
Scotch tape dispenser,Office Supplies
HP ink cartridges magenta,Office Supplies
Post‑it notes pack 200,Office Supplies
Staples printer paper 5 reams,Office Supplies
Whiteboard markers set of 50,Office Supplies
Staples printer paper 2 reams,Office Supplies
Whiteboard markers set of 200,Office Supplies
Avery label stickers small,Office Supplies
Brother toner cartridge DCP‑L2550DW,Office Supplies
Whiteboard markers set of 500,Office Supplies
Water supply charges,Utilities
Recycling program fee,Utilities
Gas heating invoice,Utilities
Internet broadband monthly,Utilities
Waste collection fee,Utilities
Electricity bill for April,Utilities
Electricity bill for January,Utilities
Electricity bill for May,Utilities
Electricity demand charge,Utilities
Sewer service charge,Utilities
Water treatment cost,Utilities
Electricity bill for March,Utilities
Street lighting tax,Utilities
Electricity bill for February,Utilities
Electricity bill for June,Utilities
American Airlines domestic flight,Travel
Hilton conference rate,Travel
Train ticket to Chicago,Travel
Delta flight 300,Travel
Car rental for 1 days,Travel
Lyft business trip receipt,Travel
Amtrak Acela ticket,Travel
Car rental for 2 days,Travel
Train ticket to San Francisco,Travel
Enterprise rental SUV,Travel
Delta flight 200,Travel
Marriott hotel 5 nights,Travel
Delta flight 400,Travel
Train ticket to Boston,Travel
Marriott hotel 1 nights,Travel
Marriott hotel 2 nights,Travel
Car rental for 7 days,Travel
Uber ride to DEN airport,Travel
Uber ride to ORD airport,Travel
Uber ride to LAX airport,Travel
Marriott hotel 3 nights,Travel
Delta flight 100,Travel
Car rental for 3 days,Travel
Uber ride to JFK airport,Travel
Uber ride to ATL airport,Travel
Furniture restock,Inventory
Cleaning supplies inventory,Inventory
Labels and barcodes rolls,Inventory
Electronics components bulk,Inventory
Shipping boxes 200ct,Inventory
Plastic containers 5 L,Inventory
Steel beams 1 tons,Inventory
Warehouse pallets order,Inventory
Plastic containers 20 L,Inventory
Packaging supplies 100 units,Inventory
Steel beams 5 tons,Inventory
Safety gloves dozen pack,Inventory
Packaging supplies 1000 units,Inventory
Steel beams 20 tons,Inventory
Packaging supplies 500 units,Inventory
Steel beams 10 tons,Inventory
Plastic containers 10 L,Inventory
